S.No.,Local Body Code,Local Body Version,Local Body Name      (In English),Local Body Name (In Local),Local Body Type Code,Local Body Type Name,Parent Local Body Code
878,221714,2,PRAMADOM,പ്രമാടം,3,Village Panchayat,6370
879,221611,1,PUDUCODE,പുതുക്കോട്,3,Village Panchayat,6355
880,221857,7,PUDUKKAD,പുതുക്കാട്,3,Village Panchayat,6393
881,221642,1,PUDUPPARIYARAM,പുതുപ്പരിയാരം,3,Village Panchayat,6360
882,221616,2,PUDUR,പുതൂര്‍,3,Village Panchayat,6356
883,221643,1,PUDUSSERI,പുതുശ്ശേരി,3,Village Panchayat,6360
884,221542,2,PULAMANTHOLE,പുലാമന്തോള്‍,3,Village Panchayat,6347
885,221521,1,PULIKKAL,പുളിക്കല്‍,3,Village Panchayat,6342
886,221774,1,PULIMATH,പുളിമാത്ത്,3,Village Panchayat,6379
887,221038,4,PULINKUNNU,പുളിങ്കുന്ന്,3,Village Panchayat,6271
888,220994,1,PULIYOOR,പുലിയൂര്‍,3,Village Panchayat,6264
889,221807,1,PULLAMPARA,പുല്ലമ്പാറ,3,Village Panchayat,6384
890,221264,1,PULLURPERIYA,പുല്ലൂര്‍ പെരിയ,3,Village Panchayat,6303
891,221935,2,PULPALLI,പുല്‍പ്പള്ളി,3,Village Panchayat,6882
892,221514,1,PULPATTA,പുല്‍പ്പറ്റ,3,Village Panchayat,6341
893,220970,9,PUNNAPRA (NORTH),പുന്നപ്ര വടക്ക്,3,Village Panchayat,6260
894,220971,1,PUNNAPRA(SOUTH),പുന്നപ്ര തെക്ക്,3,Village Panchayat,6260
895,221836,1,PUNNAYUR,പുന്നയൂര്‍,3,Village Panchayat,6389
896,221837,1,PUNNYURKULUM,പുന്നയൂര്‍ക്കുളം,3,Village Panchayat,6389
897,220972,1,PURAKKAD,പുറക്കാട്,3,Village Panchayat,6260
898,221708,1,PURAMATTOM,പുറമറ്റം,3,Village Panchayat,6369
899,221501,1,PURAMERI,പുറമേരി,3,Village Panchayat,6339
900,221175,1,PURAPUZHA,പുറപ്പുഴ,3,Village Panchayat,6293
901,221578,2,PURATHUR,പുറത്തൂര്‍,3,Village Panchayat,6351
902,221900,1,PUTHENCHIRA,പുത്തന്‍ചിറ,3,Village Panchayat,6401
903,221099,2,PUTHENVELIKKARA,പുത്തന്‍വേലിക്കര,3,Village Panchayat,6281
904,221284,2,PUTHIGE,പുത്തിഗെ,3,Village Panchayat,6305
